title;address;"CONCAT(pe.phone, ' ')";director;department
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти ""Лицей № 6 имени Героя Советского Союза Александра Матвеевича Матросова"" ";"445012 г. Тольятти, ул. Мурысева, 61";24-26-53  ;Мицук Елена Юрьевна;Департамент образования
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти ""Школа №11 имени Героя Социалистического Труда Н.В. Разина""";"445013 г. Тольятти, Майский проезд, 7";97-52-70 97-49-09 ;Якунина Лариса Владимировна;Департамент образования
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти ""Школа № 14"" ";"445041 г. Тольятти, ул. Куйбышева, 24";45-16-02 45-16-31  ;Захарова Ирина Владимировна ;Департамент образования
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти ""Школа № 15 имени Героя Советского Союза Викторова Константина Николаевича» ";"445015 г. Тольятти, ул. Никонова, 18 ";45-20-29 45-19-22  ;Евменов Вадим Николаевич;Департамент образования
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти ""Школа № 25 имени Заслуженного строителя Российской Федерации В.М. Саяпина""  ";"445052 г. Тольятти, ул. 60 лет СССР, 14";48-83-43 40-50-90 ;Илюшкина Валентина Ивановна;Департамент образования
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти ""Классическая гимназия № 39 имени Героя Советского Союза Василия Филипповича Маргелова"" ";"445008 г. Тольятти, ул. Громовой, 38";24-01-28 24-42-33 ;Терлецкая Татьяна Леонидовна;Департамент образования
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти  ""Лицей № 60"" ";"445046 г. Тольятти, ул. Есенина, 18";24-12-31  ;Косова Татьяна Юрьевна;Департамент образования
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти ""Школа № 75 имени И.А. Красюка"" ";"445005 г. Тольятти, ул. Гидротехническая, 31 ";45-06-11  ;Гервасьева Светлана Александровна;Департамент образования
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти ""Школа №80 имени Героя Социалистического Труда А.С. Мурысева""";"445046 г. Тольятти, ул. Мурысева, 49";24-57-84 24-51-87  ;Бабий Светлана Вениаминовна ;Департамент образования
Муниципальное бюджетное учреждение дополнительного образования спортивная школа олимпийского резерва № 5 «Спортивная борьба» городского округа Тольятти;"445012 г. Тольятти, ул.Коммунистическая, 45-а";24-63-97 ;Капралов Валерий Анатольевич;Департамент физической культуры и спорта
Муниципальное бюджетное уреждение дополнительного образования спортивная школа олимпийского резерва № 7 «Акробат» городского округа Тольятти;"445012 г. Тольятти, ул. Матросова, 5 а";75-52-29 24-14-53 24-87-93  ;Решетникова Светлана Васильевна;Департамент физической культуры и спорта
Муниципальное бюджетное учреждение дополнительного образования спортивная школа олимпийского резерва № 11 «Бокс» городского округа Тольятти;"445046 г. Тольятти, ул. Лесная, д. 60";22-64-55 25-50-87 ;Купаев Александр Атькалиевич;Департамент физической культуры и спорта
Муниципальное бюджетное образовательное учреждение дополнительного образования «Родник» городского округа Тольятти;"445008 г. Тольятти, ул. Л. Чайкиной, 69 а";24-14-15  ;Ширяева Светлана Геннадьевна;Департамент образования
